"Page_views","word_count","read_time","gender","pictures","type","clickbait_title"
9952,1165,5,"Male",4,"Entertainment","No"
27341,5736,18,"Female",0,"News","No"
21197,3826,13,"Female",2,"Entertainment","No"
24306,4187,14,"Female",0,"News","Yes"
15758,1463,6,"Female",1,"Entertainment","Yes"
13803,2822,10,"Female",3,"Entertainment","No"
18546,3637,13,"Female",4,"News","Yes"
22247,4426,14,"Male",2,"News","Yes"
9251,2378,8,"Male",1,"Entertainment","Maybe"
22944,2252,9,"Female",2,"Entertainment","Yes"
13305,1817,7,"Male",4,"Entertainment","No"
20155,2386,8,"Female",1,"Entertainment","No"
11456,3010,10,"Male",2,"News","No"
12366,1736,7,"Female",1,"Entertainment","Yes"
26919,2908,9,"Male",2,"Entertainment","Yes"
16004,3134,10,"Male",1,"Entertainment","Maybe"
11754,1153,5,"Female",3,"Entertainment","No"
27606,4418,14,"Male",3,"Entertainment","Yes"
28660,4940,16,"Male",8,"News","Yes"
17815,2368,9,"Female",0,"News","Yes"
8167,2990,10,"Female",1,"Entertainment","Yes"
21644,2279,8,"Female",2,"Entertainment","Yes"
28850,4728,17,"Male",1,"Entertainment","No"
18150,2906,9,"Female",2,"Entertainment","Yes"
18912,3394,11,"Male",2,"Entertainment","Yes"
9300,2989,10,"Male",0,"Entertainment","No"
12544,2102,6,"Male",1,"News","No"
25623,3806,13,"Male",1,"News","Yes"
15841,3965,13,"Male",2,"Entertainment","No"
16610,2170,9,"Male",2,"Entertainment","Yes"
13920,3545,10,"Male",2,"News","Yes"
16590,3147,10,"Male",3,"Entertainment","No"
24810,3305,10,"Male",4,"News","Yes"
23328,3566,12,"Male",1,"News","Yes"
31843,4510,14,"Male",2,"Entertainment","Yes"
7781,1431,6,"Female",4,"News","Yes"
18662,2711,9,"Male",1,"Entertainment","Yes"
20365,2858,11,"Male",3,"News","Yes"
17920,2344,8,"Female",2,"News","Yes"
26978,3545,12,"Female",1,"Entertainment","Yes"
24834,2595,8,"Male",1,"Entertainment","Yes"
11437,3927,12,"Male",0,"News","Yes"
28325,1802,6,"Male",7,"Entertainment","Yes"
19231,1882,7,"Female",1,"News","Yes"
19156,2425,8,"Male",3,"Entertainment","Maybe"
23678,4724,15,"Male",4,"News","Maybe"
7227,250,2,"Male",4,"Entertainment","No"
18625,2899,10,"Female",1,"Entertainment","Yes"
25059,4265,14,"Male",2,"Entertainment","Yes"
16825,1828,6,"Female",2,"Entertainment","No"
17086,1794,7,"Male",3,"Entertainment","No"
23787,3487,11,"Female",2,"News","Yes"
12830,2558,8,"Female",4,"News","No"
15681,4322,14,"Male",2,"Entertainment","No"
21259,3116,10,"Female",3,"Entertainment","Yes"
9583,2940,10,"Female",2,"News","No"
13958,2674,8,"Male",1,"News","Yes"
9930,4067,12,"Male",2,"Entertainment","No"
19934,3770,12,"Male",2,"News","Yes"
10564,1647,5,"Male",3,"Entertainment","Yes"
21788,2714,10,"Male",1,"News","No"
15417,2607,8,"Male",2,"News","Yes"
12541,2267,8,"Female",1,"News","Yes"
19004,2737,10,"Female",4,"News","Yes"
15577,3217,10,"Male",2,"News","Yes"
13250,1812,7,"Male",1,"News","No"
14829,2812,11,"Female",5,"News","No"
21499,1939,6,"Female",4,"Entertainment","No"
9469,2875,10,"Female",1,"Entertainment","No"
17509,1918,7,"Male",0,"Entertainment","Yes"
5099,1699,6,"Female",3,"News","Maybe"
22379,2631,10,"Female",1,"Entertainment","Maybe"
12322,2819,9,"Female",0,"News","Maybe"
14488,3272,12,"Female",1,"News","No"
18903,2989,9,"Male",1,"News","No"
12104,2170,7,"Male",1,"News","Yes"
15895,1553,5,"Female",2,"News","No"
12989,2979,10,"Other",1,"Entertainment","Maybe"
20135,3371,11,"Female",2,"News","Maybe"
27120,4175,14,"Male",1,"News","Yes"
29494,4234,14,"Female",0,"News","No"
7401,3136,10,"Female",6,"News","No"
20599,4261,14,"Female",0,"News","No"
17220,4158,14,"Female",4,"Entertainment","No"
19533,2781,9,"Male",2,"Entertainment","Yes"
23929,3017,10,"Male",2,"News","Yes"
26967,2771,9,"Female",2,"News","Yes"
10502,2221,8,"Male",3,"News","Maybe"
5120,2287,8,"Male",0,"Entertainment","No"
22776,2967,10,"Female",3,"News","No"
12275,4094,12,"Male",1,"Entertainment","No"
18994,4200,14,"Female",2,"News","Yes"
30195,3587,11,"Female",3,"Entertainment","Yes"
21360,4546,15,"Male",2,"Entertainment","No"
13437,2982,9,"Male",0,"News","Yes"
12521,4020,13,"Female",1,"Entertainment","No"
12704,1829,6,"Male",2,"Entertainment","No"
5375,1516,7,"Male",1,"Entertainment","No"
15298,2060,7,"Male",0,"Entertainment","Yes"
23209,3963,13,"Female",2,"Entertainment","Yes"
23023,2804,10,"Female",1,"Entertainment","Yes"
14496,2668,9,"Female",2,"News","No"
18909,2845,9,"Male",2,"Entertainment","No"
11555,3481,11,"Male",2,"Entertainment","Yes"
20202,2337,8,"Male",1,"News","Yes"
18824,3775,12,"Male",2,"Entertainment","Maybe"
7515,2769,9,"Female",3,"Entertainment","No"
15156,2429,8,"Female",0,"News","Maybe"
14106,4307,14,"Male",3,"Entertainment","No"
10196,1124,5,"Male",3,"Entertainment","No"
18283,1910,7,"Female",1,"Entertainment","Yes"
12648,250,2,"Male",2,"Entertainment","No"
22058,3124,11,"Male",4,"Entertainment","Yes"
21372,4033,12,"Male",3,"Entertainment","Yes"
11829,2792,10,"Male",2,"News","No"
21709,1503,6,"Female",4,"Entertainment","Yes"
25781,4303,14,"Female",3,"Entertainment","Yes"
20926,4299,14,"Male",1,"News","Yes"
27786,4538,15,"Female",1,"News","Yes"
28281,3339,11,"Female",1,"News","No"
22662,4272,14,"Female",1,"Entertainment","Maybe"
10923,2116,7,"Female",4,"News","Yes"
14596,3774,12,"Male",3,"Entertainment","No"
23206,3330,11,"Male",2,"Entertainment","Yes"
11677,3846,12,"Female",2,"News","Maybe"
28726,4440,14,"Female",1,"Entertainment","Yes"
17513,3061,10,"Male",1,"Entertainment","No"
19067,3996,14,"Female",4,"News","No"
21290,4734,17,"Female",0,"News","No"
22494,2667,9,"Female",0,"Entertainment","Yes"
10888,4114,14,"Female",2,"Entertainment","No"
18416,4543,15,"Female",3,"Entertainment","Yes"
23724,5290,17,"Female",2,"News","No"
25965,4070,13,"Female",0,"Entertainment","No"
14762,2713,9,"Male",1,"News","No"
13732,2852,9,"Female",1,"News","No"
9635,2750,9,"Female",3,"News","No"
27965,3970,13,"Female",4,"Entertainment","Yes"
11596,4032,13,"Male",2,"Entertainment","Yes"
24232,4510,14,"Female",1,"News","No"
11089,2419,9,"Female",1,"Entertainment","No"
10783,2962,10,"Female",2,"News","No"
13297,2040,7,"Female",5,"News","Yes"
7445,2419,8,"Female",2,"Entertainment","No"
18199,2604,10,"Male",2,"Entertainment","No"
25548,4090,13,"Female",1,"Entertainment","Yes"
19160,1976,8,"Male",5,"News","Yes"
19879,5259,17,"Male",3,"Entertainment","No"
9278,3182,10,"Male",1,"Entertainment","No"
-3495,1872,8,"Female",2,"Entertainment","No"
29828,3918,12,"Male",2,"Entertainment","Yes"
23850,2338,8,"Female",1,"News","Yes"
22000,2151,8,"Male",1,"News","Yes"
23575,1256,6,"Male",4,"Entertainment","Yes"
8650,2589,8,"Male",2,"News","Maybe"
24339,2644,9,"Female",0,"Entertainment","Yes"
15239,3629,11,"Male",4,"Entertainment","No"
19727,3474,12,"Male",3,"News","Yes"
13662,2515,9,"Male",3,"News","Maybe"
18342,2623,9,"Female",1,"News","No"
18624,4915,16,"Female",1,"News","Yes"
24148,4692,14,"Female",1,"Entertainment","Yes"
19940,4750,16,"Male",4,"News","Yes"
21128,2518,8,"Female",2,"News","Yes"
16781,3530,11,"Male",3,"News","No"
15283,1936,8,"Male",1,"Entertainment","No"
16990,1521,6,"Female",2,"News","No"
21514,2581,9,"Male",0,"Entertainment","Yes"
18547,2165,8,"Female",2,"Entertainment","Maybe"
11609,2348,8,"Female",2,"News","No"
20034,2775,9,"Female",1,"Entertainment","No"
9924,1964,6,"Female",2,"Entertainment","Yes"
30962,3774,12,"Female",5,"Entertainment","Maybe"
15373,4153,14,"Female",3,"News","Maybe"
24622,3008,11,"Male",1,"Entertainment","Yes"
15253,1916,8,"Female",0,"News","Yes"
7932,2597,9,"Female",2,"News","No"
11505,2975,11,"Male",1,"Entertainment","No"
11190,3299,10,"Other",2,"Entertainment","Yes"
17513,3847,12,"Male",1,"News","Yes"
23348,5082,16,"Female",2,"News","Yes"
7853,973,4,"Female",1,"Entertainment","Yes"
22530,3366,11,"Male",6,"News","No"
12954,3024,10,"Female",4,"News","No"
15494,2617,9,"Female",2,"News","Yes"
23079,2981,10,"Female",0,"News","Yes"
19722,2629,9,"Female",5,"Entertainment","Yes"
23993,3709,12,"Female",0,"Entertainment","Yes"
14471,2379,8,"Female",4,"Entertainment","No"
14131,3154,11,"Female",1,"Entertainment","No"
10066,2187,8,"Female",3,"Entertainment","No"
21116,2474,9,"Female",2,"Entertainment","Yes"
7983,3834,13,"Male",3,"News","No"
16445,2843,8,"Female",1,"Entertainment","Yes"
12237,4706,14,"Male",0,"Entertainment","Yes"
15837,2665,9,"Male",6,"Entertainment","No"
15602,3083,11,"Female",3,"Entertainment","No"
19747,2899,10,"Female",3,"Entertainment","No"
24973,3845,14,"Female",2,"Entertainment","Yes"
14825,2983,10,"Female",3,"News","No"
15963,3209,11,"Male",2,"Entertainment","No"
22967,3643,12,"Male",3,"Entertainment","Yes"
18127,2028,7,"Male",3,"News","Yes"
22035,2676,9,"Female",1,"Entertainment","Yes"
22172,5860,18,"Female",1,"News","No"
18824,2000,8,"Female",1,"News","Yes"
22707,4496,14,"Female",3,"News","No"
2124,2912,9,"Male",0,"Entertainment","No"
10903,2269,8,"Male",0,"Entertainment","Maybe"
17435,4032,13,"Male",2,"News","No"
20329,3180,10,"Male",4,"News","No"
21282,3959,13,"Female",6,"News","Yes"
19740,3602,12,"Female",0,"Entertainment","Yes"
22779,2768,9,"Male",3,"Entertainment","Yes"
10064,2110,8,"Female",2,"Entertainment","Maybe"
21386,2739,9,"Male",2,"Entertainment","Yes"
20177,2897,9,"Male",2,"Entertainment","No"
9631,1729,6,"Male",0,"Entertainment","No"
19085,3151,11,"Female",1,"Entertainment","Yes"
15536,2137,8,"Female",2,"Entertainment","Yes"
6998,2077,7,"Female",4,"News","No"
22088,2939,10,"Male",5,"Entertainment","Yes"
25328,3583,13,"Female",4,"Entertainment","Yes"
5272,2896,9,"Male",0,"News","No"
12176,2241,8,"Male",1,"News","No"
15456,2567,9,"Female",0,"News","No"
15671,4624,14,"Female",2,"Entertainment","Yes"
17452,2800,10,"Male",7,"News","No"
17107,1799,6,"Female",1,"News","No"
19293,3395,11,"Male",4,"News","Maybe"
9954,2253,8,"Male",2,"Entertainment","Yes"
24429,3411,11,"Female",4,"News","Maybe"
10346,2098,7,"Female",2,"News","No"
20500,3297,11,"Male",1,"Entertainment","No"
22327,3209,11,"Female",1,"News","No"
14052,2465,9,"Male",3,"Entertainment","Yes"
6611,4462,14,"Male",1,"Entertainment","Maybe"
23133,4168,14,"Female",2,"Entertainment","Yes"
21036,2460,8,"Male",5,"Entertainment","No"
16693,2521,8,"Male",2,"Entertainment","Yes"
10564,1522,5,"Male",1,"News","No"
19888,3446,11,"Female",4,"News","No"
21555,3821,13,"Male",1,"News","Yes"
15286,501,2,"Male",2,"Entertainment","No"
22367,2905,10,"Female",1,"News","Yes"
23544,3851,12,"Male",4,"Entertainment","Maybe"
12935,2644,9,"Male",1,"Entertainment","Yes"
